Name,CleanedName,KatakanaName_Auto,ManualKatakana,Core_Katakana
NEC Networks & System Integration Corporation,NEC Networks System Integration,NEC NETWORKS SYSTEM INTEGRATION,エヌイーシーネットワークスシステムインテグレーション,エヌイーシーネットワークスシステムインテグレーション
"CROOZ,Inc.",CROOZ,CROOZ,クルーズ,クルーズ
Dawn Corporation,Dawn,DAWN,ドーン,ドーン
"CROSS CAT CO.,LTD.",CROSS CAT,CROSS CAT,クロスキャット,クロスキャット
CAICA DIGITAL Inc.,CAICA DIGITAL,CAICA DIGITAL,カイカデジタル,カイカデジタル
Systena Corporation,Systena,SYSTENA,システナ,システナ
Softfront Holdings,Softfront,SOFTFRONT,ソフトフロント,ソフトフロント
fonfun corporation,fonfun,FONFUN,フォンファン,フォンファン
Digital Arts Inc.,Digital Arts,DIGITAL ARTS,デジタルアーツ,デジタルアーツ
NS Solutions Corporation,NS Solutions,NS SOLUTIONS,エヌエスソリューションズ,エヌエスソリューションズ
TOHOKUSHINSHA FILM CORPORATION,TOHOKUSHINSHA FILM,TOHOKUSHINSHA FILM,トウホクシンシャフィルム,トウホクシンシャフィルム
"Forside Co.,Ltd.",Forside,FORSIDE,フォーサイド,フォーサイド
"Quest Co.,Ltd.",Quest,QUEST,クエスト,クエスト
CUBE SYSTEM INC.,CUBE SYSTEM,CUBE SYSTEM,キューブシステム,キューブシステム
"Quantum Solutions Co.,Ltd.",Quantum Solutions,QUANTUM SOLUTIONS,クオンタムソリューションズ,クオンタムソリューションズ
"Kushim,Inc.",Kushim,KUSHIM,クシム,クシム
"Nippon Information Development Co.,Ltd.",Nippon Information Development,NIPPON INFORMATION DEVELOPMENT,ニッポンインフォメーションデベロップメント,ニッポンインフォメーションデベロップメント
ASJ INC.,ASJ,ASJ,エーエスジェイ,エーエスジェイ
WOW WORLD Inc.,WOW WORLD,WOW WORLD,ワオワールド,ワオワールド
YE DIGITAL Corporation,YE DIGITAL,YE DIGITAL,ワイイーデジタル,ワイイーデジタル
CORE CORPORATION,CORE,CORE,コア,コア
GENDAI AGENCY INC.,GENDAI AGENCY,GENDAI AGENCY,ゲンダイエージェンシー,ゲンダイエージェンシー
"System Location Co.,Ltd.",System Location,SYSTEM LOCATION,システムロケーション,システムロケーション
"DEMAE-CAN CO.,LTD",DEMAE CAN LTD,DEMAE CAN LTD,デマエカン,デマエカン
"RACCOON HOLDINGS,Inc.",RACCOON,RACCOON,ラクーン,ラクーン
SOLITON SYSTEMS K.K.,SOLITON SYSTEMS K K,SOLITON SYSTEMS K K,ソリトンシステムズ,ソリトンシステムズ
SecuAvail Inc.,SecuAvail,SECUAVAIL,セキュアヴェイル,セキュアヴェイル
SOFTCREATE HOLDINGS CORP.,SOFTCREATE CORP,SOFTCREATE CORP,ソフトクリエイト,ソフトクリエイト
Netyear Group Corporation,Netyear,NETYEAR,ネットイヤー,ネットイヤー
Billing System Corporation,Billing System,BILLING SYSTEM,ビリングシステム,ビリングシステム
AXEL MARK INC.,AXEL MARK,AXEL MARK,アクセルマーク,アクセルマーク
